title,description,text,date,language
Iceland takes step to curbing state ownership of banks after 2008 collapse - Reuters.com,"Iceland intends to launch an initial public offering (IPO) of Islandsbanki by next month, in a first step to curbing the state's ownership of the banking sector well over a decade after it imploded during the 2008 financial crisis.","COPENHAGEN (Reuters) - Iceland intends to launch an initial public offering (IPO) of Islandsbanki by next month, in a first step to curbing the states ownership of the banking sector well over a deca… [+3010 chars]",2021-05-27,en
UPDATE 1-Nomura logs biggest quarterly loss in over a decade on Archegos hit - Reuters,"Nomura Holdings Inc, Japan's biggest brokerage and investment bank, reported on Tuesday its biggest quarterly net loss since the 2008 global financial crisis, taking a 245.7 billion yen ($2.3 billion) hit from the collapse of U.S. investment fund Archegos.","By Reuters Staff
FILE PHOTO: The logo of Nomura Securities is seen at the company's Head Office in Tokyo, Japan, November 28, 2016. REUTERS/Toru Hanai/File Photo
TOKYO (Reuters) - Nomura Holdings I… [+1390 chars]",2021-04-27,en
Nomura logs biggest quarterly loss in over a decade on Archegos hit - Reuters,"Nomura Holdings Inc (8604.T), Japan's biggest brokerage and investment bank, reported on Tuesday its biggest quarterly net loss since the 2008 global financial crisis, taking a 245.7 billion yen ($2.3 billion) hit from the collapse of U.S. investment fund Arc…","The logo of Nomura Securities is seen at the company's Head Office in Tokyo, Japan, November 28, 2016. REUTERS/Toru Hanai/File PhotoNomura Holdings Inc (8604.T), Japan's biggest brokerage and investm… [+1454 chars]",2021-04-27,en
Quinn Emanuel is big winner in new $14 mln fee ruling for ResCap - Reuters,"A judge overseeing a long-running legal battle between the liquidating trust for Residential Funding Company (ResCap) and the company that sold it mortgages leading up to the 2008 financial crisis, Primary Residential Mortgage Inc, has ruled PRMI must foot th…","A judge overseeing a long-running legal battle between the liquidating trust for Residential Funding Company (ResCap) and the company that sold it mortgages leading up to the 2008 financial crisis, P… [+544 chars]",2021-04-29,en
Michael Burry predicted the 2008 mortgage crisis and is now betting $ 534 million on Tesla's crash,Elon Musk's recent Tesla losses could be a sign that the investor's prediction that inspired the movie 'The Big Short' could come true.,"This article was translated from our Spanish edition using AI technologies. Errors may exist due to this process.
Surely you place Michael Burry as the eccentric investor played by Christian Bale in… [+2931 chars]",2021-05-19,en
What We Learned From a Year of Crafting,"Making things — masks, quilts, ceramics, mandalas — was a practical and sometimes political response to the moment.","There was an embrace of craft and a search of meaning through making following other recent moments of national crisis. Remember the subway knitters in the months after the Sept. 11 attacks, head dow… [+1681 chars]",2021-05-13,en
Invest in health or face credit ratings 'stick' -WHO's expert panel - Reuters,"States that invest too little in public health could have their credit ratings cut, according to the chair of a World Health Organization panel that wants a new global body set up to spell out the risks to financial stability from healthcare failures.","States that invest too little in public health could have their credit ratings cut, according to the chair of a World Health Organization panel that wants a new global body set up to spell out the ri… [+2513 chars]",2021-05-18,en
Former Aviva CFO Stoddard joins BofA as investment banking vice chair - Reuters,"Former Aviva Plc (AV.L) Chief Financial Officer Tom Stoddard joined Bank of America Corp (BAC.N) as vice chairman of investment banking, according to an internal memo, returning to his advisory roots after a stint in the insurance industry.","Former Aviva Plc (AV.L) Chief Financial Officer Tom Stoddard joined Bank of America Corp (BAC.N) as vice chairman of investment banking, according to an internal memo, returning to his advisory roots… [+1146 chars]",2021-05-25,en
"London's 'Golden Age' as Europe's financial capital is over, says NatWest chair - Reuters.com","London's 'Golden Age' as Europe's financial capital is over, says NatWest chair  Reuters.com","Banks
Huw Jones
LONDON (Reuters) - The City of Londons Golden Age as Europes financial capital is over following Brexit, but it will remain a major and profitable centre, NatWest bank chairman Howa… [+2782 chars]",2021-05-18,en
Nigeria's central bank sacks entire board of First Bank of Nigeria - Reuters,"Nigeria's central bank on Thursday sacked the entire board of First Bank of Nigeria and appointed new directors, the regulator said in a statement, citing the previous board's ""sweeping changes"" without alerting regulatory authorities.","Nigeria's central bank on Thursday sacked the entire board of First Bank of Nigeria and appointed new directors, the regulator said in a statement, citing the previous board's ""sweeping changes"" with… [+1055 chars]",2021-04-30,en
Taper talk thrusts emerging market funding source in firing line - Reuters,"Emerging economies from Peru to Romania are in the firing line as looming U.S. tapering raises the risk of outflows from local currency bond markets, hitting a vital funding source for governments striving to recover from the coronarvirus crisis.","Emerging economies from Peru to Romania are in the firing line as looming U.S. tapering raises the risk of outflows from local currency bond markets, hitting a vital funding source for governments st… [+3157 chars]",2021-05-25,en
EU urged to end 'doom loop' with tougher climate finance rules - Reuters,European Union policymakers faced a call on Wednesday to break a 'climate-finance doom loop' by making banks hold up to three times more capital to cover risks from fossil fuel activities.,"* Bigger buffer needed to cover fossil fuel lending
* Action needed to stop climate-finance doom loop
* Finance Watch says capital review a time to act
LONDON, May 5 (Reuters) - European Union pol… [+2012 chars]",2021-05-05,en
EU urged to end 'doom loop' with tougher climate finance rules - Reuters,European Union policymakers faced a call on Wednesday to break a 'climate-finance doom loop' by making banks hold up to three times more capital to cover risks from fossil fuel activities.,LONDON (Reuters) - European Union policymakers faced a call on Wednesday to break a climate-finance doom loop by making banks hold up to three times more capital to cover risks from fossil fuel activ… [+1939 chars],2021-05-05,en
"Wall Street bank CEOs to tout COVID relief push, diversity efforts before Congress - Reuters","Wall Street bank chiefs will tout the role their institutions have played in getting the pandemic-hit U.S. economy back on track when they appear before Congress this week, but they are likely to face tough questions on hot-button social and economic issues.","WASHINGTON (Reuters) - Wall Street bank chiefs will tout the role their institutions have played in getting the pandemic-hit U.S. economy back on track when they appear before Congress this week, but… [+3820 chars]",2021-05-25,en
U.S. consumer confidence holds steady; housing showing strain as prices surge - Reuters,U.S. consumer confidence hovered at a 14-month high in May as optimism about job prospects tempered concerns about rising inflation and diminishing government financial support.,"Shoppers visit Macy's flagship store in New York City, New York, U.S., May 20, 2021. REUTERS/Eduardo Munoz/File PhotoU.S. consumer confidence hovered at a 14-month high in May as optimism about job p… [+5353 chars]",2021-05-25,en
Can Sony reclaim its former glory?,The real question facing Sony now: How can it return to being an innovation leader?.,"To be fair, Sony has done a solid job of turning its business around from its miserable 2000's. Howard Stringer, the company's first English-speaking CEO, tried to bring some Western-style management… [+4922 chars]",2021-05-14,en
UK government completes sale $1.5 billion of NatWest shares - Reuters,"The British government has completed the sale of 1.1 billion pounds ($1.55 billion) in shares of NatWest (NWG.L), lowering its stake in the lender it bailed out over a decade ago to below 55%.","The logo of NatWest Bank, part of the Royal Bank of Scotland group is seen outside a branch in Enfield, London Britain November 15, 2017. REUTERS/John SibleyThe British government has completed the s… [+819 chars]",2021-05-11,en
"Swiss Re swings to Q1 net profit, better than expected - Reuters","Swiss Re (SRENH.S) swung to a net profit in the first three months of the year in figures that were better than expected, as it recovers from the impact of the coronavirus pandemic, the reinsurer said on Friday.","Swiss Re (SRENH.S) swung to a net profit in the first three months of the year in figures that were better than expected, as it recovers from the impact of the coronavirus pandemic, the reinsurer sai… [+824 chars]",2021-04-30,en
